City ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed
134,Caxito,AO,-8.58,13.66,2020-04-11,78.8,88.0,75.0,5.82
135,Merauke,ID,-8.47,140.33,2020-04-11,84.78,74.0,70.0,9.51
136,Georgetown,SH,-7.93,-14.42,2020-04-11,80.49,82.0,19.0,15.55
137,Chicama,PE,-7.84,-79.15,2020-04-11,74.12,73.0,93.0,4.81
138,Pitimbu,BR,-7.47,-34.81,2020-04-11,77.0,100.0,6.0,4.7
139,Kawalu,ID,-7.38,108.21,2020-04-11,89.67,45.0,5.0,5.77
140,Kalianget,ID,-7.05,113.93,2020-04-11,85.06,72.0,39.0,0.56
141,Cabedelo,BR,-6.98,-34.83,2020-04-11,77.0,94.0,12.0,6.13
142,Labuhan,ID,-6.88,112.21,2020-04-11,88.39,64.0,35.0,2.35
143,Sao Felix Do Xingu,BR,-6.64,-51.99,2020-04-11,73.31,91.0,75.0,0.58
144,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,2020-04-11,73.83,88.0,58.0,3.15
145,Indramayu,ID,-6.33,108.32,2020-04-11,87.87,61.0,0.0,4.09
146,Kieta,PG,-6.22,155.63,2020-04-11,84.09,74.0,85.0,4.27
147,Soyo,AO,-6.13,12.37,2020-04-11,78.8,94.0,75.0,8.52
148,Kiunga,PG,-6.12,141.29,2020-04-11,88.3,70.0,87.0,2.46
149,Tual,ID,-5.67,132.75,2020-04-11,84.02,72.0,4.0,8.01
150,Sitio Novo Do Tocantins,BR,-5.52,-47.46,2020-04-11,77.0,94.0,100.0,2.57
151,Pringsewu,ID,-5.36,104.97,2020-04-11,92.37,50.0,4.0,0.6
152,Madang,PG,-5.22,145.8,2020-04-11,84.42,73.0,85.0,5.06
153,Quixeramobim,BR,-5.2,-39.29,2020-04-11,72.66,89.0,83.0,0.94
154,Touros,BR,-5.2,-35.46,2020-04-11,75.2,94.0,40.0,5.82
155,Victoria,SC,-4.62,55.45,2020-04-11,86.0,70.0,20.0,3.15
156,Bulungu,CD,-4.55,18.6,2020-04-11,73.24,76.0,82.0,1.79
157,Kokopo,PG,-4.35,152.26,2020-04-11,82.56,76.0,86.0,6.02
158,Mangai,CD,-4.05,19.53,2020-04-11,73.13,83.0,69.0,1.72
159,Aquiraz,BR,-3.9,-38.39,2020-04-11,78.8,88.0,40.0,2.24
160,Bengkulu,ID,-3.8,102.27,2020-04-11,89.01,54.0,99.0,2.8
161,Iquitos,PE,-3.75,-73.25,2020-04-11,77.0,94.0,75.0,2.04
162,Ambon,ID,-3.7,128.18,2020-04-11,85.05,68.0,13.0,3.31
163,Kampene,CD,-3.6,26.67,2020-04-11,71.24,82.0,100.0,1.25
164,Nabire,ID,-3.37,135.48,2020-04-11,86.63,70.0,57.0,4.9
165,Tefe,BR,-3.35,-64.71,2020-04-11,73.62,88.0,85.0,0.27
166,Malindi,KE,-3.22,40.12,2020-04-11,80.6,88.0,40.0,16.11
167,Tutoia,BR,-2.76,-42.27,2020-04-11,79.14,84.0,98.0,4.43
168,Pangkalanbuun,ID,-2.68,111.62,2020-04-11,85.53,76.0,84.0,5.17
169,Vanimo,PG,-2.67,141.3,2020-04-11,83.59,76.0,98.0,6.6
170,Kavieng,PG,-2.57,150.8,2020-04-11,84.4,74.0,82.0,8.39
171,Lorengau,PG,-2.02,147.27,2020-04-11,84.2,72.0,66.0,4.43
